date,mom_01,mom_02,mom_03,mom_04,mom_05,mom_06,mom_07,mom_08,mom_09,mom_10
2016-01-04,0.67,-0.03,-0.93,-1.11,-1.47,-1.66,-1.4,-2.08,-1.71,-2.67
2016-01-05,-0.36,0.2,-0.37,0.28,0.16,0.18,-0.22,0.25,0.29,0.13
2016-01-06,-4.97,-2.33,-2.6,-1.16,-1.7,-1.45,-1.15,-1.46,-1.14,-0.45
2016-01-07,-4.91,-1.91,-3.03,-1.87,-2.31,-2.3,-2.7,-2.31,-2.36,-2.66
2016-01-08,-0.4,-1.26,-0.98,-1.26,-1.13,-1.02,-0.96,-1.42,-0.94,-1.32
2016-01-11,-5.14,-0.81,-1.33,-0.72,-0.43,0.14,0.23,0.28,0.29,0.33
2016-01-12,-1.84,-0.36,0.14,0.67,0.61,0.6,1.01,0.68,1,1.02
2016-01-13,-4.88,-3.06,-2.7,-2,-2.34,-2.18,-2.44,-2.77,-2.65,-3.71
2016-01-14,3.85,2.48,1.71,2.24,1.88,1.39,1.55,1.35,1.47,1.72
2016-01-15,-3.85,-2.87,-1.92,-2.09,-1.38,-2.46,-1.88,-2.23,-2.28,-2.4
2016-01-19,-4.74,-1.5,-0.76,-0.69,-0.35,-0.18,0.11,0,0.03,0.18
2016-01-20,-1.27,0.18,-1.08,-1.9,-0.71,-0.77,-0.77,-1.24,-0.99,-0.42
2016-01-21,7.67,1.89,1.88,0.86,0.54,-0.1,0.24,-0.44,0.12,0.47
2016-01-22,4.24,2.1,2.06,1.36,1.93,2.78,1.71,1.8,2.5,2.05
2016-01-25,-5.97,-3.67,-2.34,-2.16,-1.85,-1.71,-1.33,-1.44,-1.62,-1.12
2016-01-26,4.75,3.22,2.34,1.87,2.37,1.13,1.56,1.23,1.13,0.72
2016-01-27,-0.68,-0.87,-0.47,-0.61,-1.9,-0.97,-0.53,-0.63,-1.16,-2.02
2016-01-28,1.04,0.6,0.1,-0.35,0.8,-0.53,-0.04,-0.12,-0.41,2.87
2016-01-29,6.12,3.28,3.29,2.81,2.61,2.07,2.39,2.53,2.94,2.1
2016-02-01,-3.08,0.16,0.13,-0.13,-0.51,0.36,-0.08,-0.02,-0.01,0.26
2016-02-02,-4.57,-3.03,-2.67,-2.83,-2.09,-1.25,-1.86,-1.98,-1.91,-1.7
2016-02-03,4.92,2.25,1.45,1.64,1.76,0.74,0.84,-0.23,0.23,-1.6
2016-02-04,3.26,2.17,0.83,1.45,1.16,0.12,0.39,-0.02,-0.54,-0.65
2016-02-05,-2.49,-2.4,-1.52,-1.77,-1.77,-0.93,-1.47,-1.62,-2.04,-3.91
2016-02-08,-5.37,-3.92,-1.59,-1.08,-0.52,-1.26,-1.85,-1,-1.84,-2.01
2016-02-09,-3.1,-2.33,-1.06,-1.14,-0.44,0.02,0.09,0.31,0.9,0.07
2016-02-10,-0.56,-0.55,-0.11,-0.19,-0.46,-0.21,-0.38,-0.06,0.66,0.8
2016-02-11,-2.58,-1.6,-1.01,-1.43,-1,-1.62,-1.69,-1.18,-1.45,-0.26
2016-02-12,5.19,3.02,2.93,2.46,1.58,2.35,2.43,2,1.53,1.12
2016-02-16,4.94,2.46,2.59,2.17,2.24,1.83,1.57,1.56,1.35,1.72
2016-02-17,5.82,4.1,2.85,2.1,2.06,1.75,1.11,1.43,1.25,1.85
2016-02-18,-0.64,-0.32,-0.54,-0.43,-0.9,-0.43,-0.55,-0.35,-0.16,-0.95
2016-02-19,-2.88,-1.5,-0.32,-0.1,-0.09,0.04,0.04,0.24,0.28,0.4
2016-02-22,3.96,3.14,2.4,2.03,1.62,1.24,1.26,1.1,0.97,1.57
2016-02-23,-4.09,-2.74,-1.65,-1.52,-1.7,-1.4,-1.12,-0.92,-0.42,-1.01
2016-02-24,1.6,0.59,0.77,0.67,0.66,0.49,0.29,0.49,0.34,0.71
2016-02-25,0.31,0.93,0.45,1.29,1.03,1.08,0.99,1.28,1.27,1.22
2016-02-26,2.62,2.27,1.52,0.61,0.14,0.44,-0.07,-0.51,-0.59,-0.64
2016-02-29,1.67,-0.03,-0.53,-0.43,-0.81,-0.44,-1.12,-1.1,-0.57,-0.7
2016-03-01,1.47,2.37,2.38,2.98,2.61,2.68,2.31,2.12,1.42,2.54
2016-03-02,5.76,3.26,1.53,0.4,0.58,0.56,0.29,0.21,0.39,0.14
2016-03-03,4.09,2.41,1.36,0.99,0.71,0.5,0.38,0.41,0.33,-0.29
2016-03-04,2.69,0.82,1.04,0.54,0.73,0.4,0.09,0.47,0.13,0.02
2016-03-07,3.04,2.27,1.46,0.67,0.63,0.87,0.37,-0.04,-0.17,-1.24
2016-03-08,-7.28,-4.75,-3.21,-2.53,-1.97,-1.35,-1.22,-1,-0.24,0.12
2016-03-09,1.01,1.13,0.18,0.68,0.34,0.84,0.34,0.2,0.38,0.84
2016-03-10,-1.73,-0.96,-0.58,-0.14,0,-0.2,-0.12,0.05,0.04,0.02
2016-03-11,3.97,3.52,3.12,2.81,2.08,1.97,1.7,1.51,0.9,1.07
2016-03-14,0.45,-0.22,-0.42,-0.61,-0.09,-0.16,-0.44,-0.11,-0.12,0.23
2016-03-15,-3.88,-2.95,-1.88,-0.93,-0.04,-0.54,-0.68,0,-0.15,0.23
2016-03-16,3.9,1.91,1.16,0.91,0.61,0.89,0.14,0.34,0.39,0.63
2016-03-17,2.31,1.88,0.96,1.02,0.68,1.01,0.63,0.59,0.65,0.31
2016-03-18,0.73,1.15,1.19,1.32,0.87,0.89,0.58,0.76,0.28,-0.49
2016-03-21,-0.04,-0.01,-0.04,0.04,0.2,0.33,0.06,-0.18,-0.04,0.34
2016-03-22,0.09,0.25,0.06,-0.22,-0.11,-0.02,0.23,0.01,-0.32,-0.02
2016-03-23,-7.03,-3.83,-2.56,-1.98,-1.11,-1.38,-0.76,-0.5,0.02,-0.03
2016-03-24,0.68,0.59,0.32,-0.09,-0.21,0.03,-0.1,-0.08,0.02,0.12
2016-03-28,-1.38,-0.73,-0.29,-0.31,-0.05,-0.07,0.19,0.17,0.12,0.17
2016-03-29,2.09,1.53,1.37,1.15,0.98,0.65,0.79,0.86,1.34,1.42
2016-03-30,0.36,0.32,0,0.4,0.69,0.36,0.61,0.38,0.33,0.34
2016-03-31,2.41,1.27,0.35,0.05,-0.17,0.02,-0.28,-0.27,-0.28,-0.3
2016-04-01,-1.38,-0.79,0.02,0.19,0.39,0.87,0.81,0.68,0.83,0.84
2016-04-04,-0.14,-1.52,-0.87,-0.78,-0.08,-0.4,-0.19,-0.16,-0.21,-0.66
2016-04-05,-0.86,-1.18,-1.16,-0.94,-1.09,-0.84,-1.49,-1.01,-0.77,-0.77
2016-04-06,3.24,2.5,2.24,0.9,1.49,1.41,0.94,0.99,0.64,0.96
2016-04-07,-0.61,-1.56,-1.51,-1.7,-1.51,-1.54,-1.39,-1.17,-1.03,-0.68
2016-04-08,1.46,1.33,0.48,0.59,0.1,0.47,0.1,0.23,0.37,-0.1
2016-04-11,0.08,-0.54,-0.49,0.02,0,-0.12,-0.35,-0.27,-0.55,-0.45
2016-04-12,4.26,2.59,1.25,1.2,1.37,1.04,0.86,0.75,0.61,0.72
2016-04-13,2.17,2.1,2.36,2.69,1.64,1.94,1.28,0.99,0.35,0.42
2016-04-14,-0.12,-0.07,0.18,0.25,-0.08,0.25,0.09,-0.09,-0.14,0.03
2016-04-15,-0.56,-0.42,-0.15,-0.57,-0.7,-0.2,-0.21,0.29,0.29,0.29
2016-04-18,1.05,1.24,0.94,0.76,0.1,0.92,0.54,0.52,0.63,0.77
2016-04-19,1.84,1.05,0.18,0.91,0.25,0.75,0.52,0.35,-0.02,-0.46
2016-04-20,1.41,0.85,0.84,0.83,0.73,0.61,0.33,-0.19,-0.7,-0.42
2016-04-21,-0.11,0.75,-0.05,0.12,-0.37,0.02,-0.55,-0.69,-1.18,-0.57
2016-04-22,1.92,1.64,0.95,0.92,0.51,0.46,0.44,0.21,-0.52,-1.29
2016-04-25,-2.65,-1.83,-1.4,-0.71,-0.29,-0.47,-0.26,0.07,0.03,0.43
2016-04-26,2.1,1.41,0.92,0.5,0.35,0.62,0.43,-0.03,0.11,-0.44
2016-04-27,2.27,1.16,0.6,0.31,-1.04,0.26,0.47,0.62,0.2,0.06
2016-04-28,-1.62,-1.11,-1.72,-1.08,-1.33,-1.25,-1.03,-0.69,-0.79,-0.2
