Date,VWM
192607,3.18
192608,2.89
192609,0.59
192610,-2.92
192611,2.84
192612,2.9
192701,0.19
192702,4.44
192703,0.43
192704,0.71
192705,5.74
192706,-2.08
192707,7.56
192708,2.25
192709,4.97
192710,-4.06
192711,6.79
192712,2.31
192801,-0.43
192802,-1.37
192803,9.1
192804,4.45
192805,1.84
192806,-4.54
192807,0.94
192808,7
192809,3.15
192810,1.74
192811,12.19
192812,0.42
192901,5
192902,0.02
192903,-0.55
192904,1.79
192905,-5.95
192906,10.22
192907,4.79
192908,8.58
192909,-5.12
192910,-19.66
192911,-12.37
192912,1.7
193001,5.75
193002,2.8
193003,7.45
193004,-1.85
193005,-1.4
193006,-16
193007,4.32
193008,0.39
193009,-12.53
193010,-8.69
193011,-2.91
193012,-7.69
193101,6.39
193102,10.92
193103,-6.3
193104,-9.9
193105,-13.15
193106,13.98
193107,-6.56
193108,0.44
193109,-29.1
193110,8.14
193111,-8.91
193112,-13.41
193201,-1.35
193202,5.69
193203,-11.05
193204,-17.85
193205,-20.45
193206,-0.68
193207,33.87
193208,37.09
193209,-2.91
193210,-13.15
193211,-5.86
193212,4.41
193301,1.26
193302,-15.27
193303,3.33
193304,38.95
193305,21.47
193306,13.13
193307,-9.61
193308,12.08
193309,-10.63
193310,-8.35
193311,9.99
193312,1.85
193401,12.65
193402,-2.48
193403,0.11
193404,-1.78
193405,-7.24
193406,2.65
193407,-10.95
193408,5.59
193409,-0.22
193410,-1.65
193411,8.34
193412,0.37
193501,-3.44
193502,-1.92
193503,-3.67
193504,9.07
193505,3.48
193506,5.94
193507,7.52
193508,2.66
193509,2.64
193510,7.04
193511,4.9
193512,4.57
193601,6.9
193602,2.5
193603,1.01
193604,-8.12
193605,5.21
193606,2.43
193607,6.68
193608,1.01
193609,0.99
193610,7.14
193611,3.28
193612,0.21
193701,3.36
193702,1.11
193703,-0.26
193704,-7.33
193705,-0.77
193706,-4.18
193707,8.94
193708,-4.84
193709,-13.57
193710,-9.59
193711,-8.29
193712,-4.24
193801,0.49
193802,5.84
193803,-23.83
193804,14.52
193805,-3.83
193806,23.87
193807,7.33
193808,-2.67
193809,0.83
193810,7.81
193811,-1.78
193812,4.19
193901,-5.97
193902,3.52
193903,-12
193904,-0.18
193905,6.81
193906,-5.3
193907,10.24
193908,-6.69
193909,16.89
193910,-0.53
193911,-3.62
193912,3.03
194001,-2.41
194002,1.44
194003,2.05
194004,0.22
194005,-21.97
194006,6.67
194007,3.17
194008,2.18
194009,2.39
194010,3.02
194011,-1.61
194012,0.69
194101,-4.18
194102,-1.44
194103,0.85
194104,-5.47
194105,1.39
194106,5.83
194107,5.9
194108,-0.16
194109,-0.86
194110,-5.25
194111,-1.92
194112,-4.86
194201,0.81
194202,-2.45
194203,-6.57
194204,-4.36
194205,5.97
194206,2.71
194207,3.54
194208,1.83
194209,2.64
194210,6.85
194211,0.18
194212,5.15
194301,7.16
194302,6.18
194303,6.04
194304,0.84
194305,5.77
194306,1.85
194307,-4.74
194308,1.33
194309,2.43
194310,-1.12
194311,-5.88
194312,6.39
194401,1.77
194402,0.4
194403,2.48
194404,-1.66
194405,5.1
194406,5.52
194407,-1.46
194408,1.6
194409,0.03
194410,0.19
194411,1.74
194412,4.05
194501,2.04
194502,6.25
194503,-3.87
194504,7.83
194505,1.76
194506,0.41
194507,-2.14
194508,6.23
194509,4.8
194510,3.92
194511,5.41
194512,1.23
194601,6.27
194602,-5.8
194603,5.9
194604,4.26
194605,3.96
194606,-3.86
194607,-2.66
194608,-6.41
194609,-10.14
194610,-1.41
194611,0.02
194612,4.99
194701,1.28
194702,-1.05
194703,-1.64
194704,-4.77
194705,-0.94
194706,5.32
194707,4.17
194708,-1.71
194709,-0.48
194710,2.53
194711,-1.91
194712,3.08
194801,-3.86
194802,-4.31
194803,8.16
194804,3.73
194805,7.38
194806,-0.01
194807,-5.01
194808,0.34
194809,-2.93
194810,6
194811,-9.26
194812,3.3
194901,0.33
194902,-2.84
194903,4.14
194904,-1.78
194905,-2.84
194906,0.2
194907,5.63
194908,2.69
194909,3.18
194910,3.23
194911,1.9
194912,5.22
195001,1.79
195002,1.57
195003,1.36
195004,4.03
195005,4.41
195006,-5.84
195007,1.46
195008,4.95
195009,4.91
195010,-0.06
195011,2.87
195012,5.65
195101,5.83
195102,1.51
195103,-2.04
195104,4.99
195105,-2.22
195106,-2.5
195107,7.07
195108,4.4
195109,0.82
195110,-2.37
195111,0.68
195112,3.45
195201,1.6
195202,-2.5
195203,4.55
195204,-4.85
195205,3.33
195206,3.98
195207,1.06
195208,-0.61
195209,-1.87
195210,-0.52
195211,6.04
195212,3.09
195301,-0.18
195302,-0.13
195303,-1.25
195304,-2.67
195305,0.69
195306,-1.71
195307,2.55
195308,-4.35
195309,0.36
195310,4.73
195311,2.91
195312,0.16
195401,5.24
195402,1.74
195403,3.73
195404,4.36
195405,3.14
195406,1.13
195407,5.04
195408,-2.29
195409,6.48
195410,-1.6
195411,9.44
195412,5.56
195501,0.68
195502,3.11
195503,-0.06
195504,3.21
195505,1.07
195506,6.65
195507,2
195508,0.37
195509,-0.2
195510,-2.5
195511,7.2
195512,1.67
195601,-2.81
195602,3.96
195603,6.79
195604,0.47
195605,-4.97
195606,3.68
195607,5.06
195608,-3.01
195609,-4.96
195610,0.77
195611,0.56
195612,3.4
195701,-3.31
195702,-1.82
195703,2.36
195704,4.51
195705,3.71
195706,-0.5
195707,0.96
195708,-4.86
195709,-5.72
195710,-4.03
195711,2.58
195712,-3.67
195801,4.94
195802,-1.4
195803,3.36
195804,3.17
195805,2.42
195806,2.96
195807,4.46
195808,1.95
195809,4.85
195810,2.71
195811,3.12
195812,5.37
195901,0.92
195902,1.14
195903,0.5
195904,3.86
195905,1.95
195906,0
195907,3.42
195908,-1.2
195909,-4.49
195910,1.58
195911,1.86
195912,2.79
196001,-6.65
196002,1.46
196003,-1.28
196004,-1.52
196005,3.39
196006,2.32
196007,-2.24
196008,3.18
196009,-5.83
196010,-0.49
196011,4.82
196012,4.87
196101,6.39
196102,3.71
196103,3.09
196104,0.46
196105,2.58
196106,-2.88
196107,3.01
196108,2.71
196109,-1.98
196110,2.76
196111,4.6
196112,0.01
196201,-3.63
196202,2.01
196203,-0.48
196204,-6.37
196205,-8.41
196206,-8.27
196207,6.55
196208,2.36
196209,-5.01
196210,0.2
196211,11.07
196212,1.24
196301,5.18
196302,-2.15
196303,3.31
196304,4.76
196305,2
196306,-1.77
196307,-0.12
196308,5.32
196309,-1.3
196310,2.82
196311,-0.58
196312,2.12
196401,2.54
196402,1.8
196403,1.72
196404,0.39
196405,1.68
196406,1.57
196407,2.04
196408,-1.16
196409,2.97
196410,0.88
196411,0.29
196412,0.34
196501,3.82
196502,0.74
196503,-0.98
196504,3.42
196505,-0.46
196506,-5.16
196507,1.74
196508,3.06
196509,3.17
196510,2.91
196511,0.32
196512,1.34
196601,1.1
196602,-0.86
196603,-2.13
196604,2.48
196605,-5.25
196606,-1.06
196607,-1.28
196608,-7.5
196609,-0.66
196610,4.31
196611,1.8
196612,0.53
196701,8.58
196702,1.14
196703,4.38
196704,4.21
196705,-4
196706,2.68
196707,4.89
196708,-0.58
196709,3.43
196710,-2.7
196711,0.73
196712,3.38
196801,-3.66
196802,-3.36
