DATE,GDPDEF
1947-01-01,11.96
1947-04-01,12.131
1947-07-01,12.335
1947-10-01,12.639
1948-01-01,12.739
1948-04-01,12.854
1948-07-01,13.092
1948-10-01,13.132
1949-01-01,13.062
1949-04-01,12.931
1949-07-01,12.872
1949-10-01,12.873
1950-01-01,12.853
1950-04-01,12.897
1950-07-01,13.177
1950-10-01,13.425
1951-01-01,13.909
1951-04-01,14.002
1951-07-01,14.01
1951-10-01,14.17
1952-01-01,14.163
1952-04-01,14.18
1952-07-01,14.339
1952-10-01,14.378
1953-01-01,14.381
1953-04-01,14.409
1953-07-01,14.47
1953-10-01,14.497
1954-01-01,14.543
1954-04-01,14.556
1954-07-01,14.575
1954-10-01,14.615
1955-01-01,14.683
1955-04-01,14.744
1955-07-01,14.847
1955-10-01,14.995
1956-01-01,15.144
1956-04-01,15.234
1956-07-01,15.425
1956-10-01,15.487
1957-01-01,15.7
1957-04-01,15.81
1957-07-01,15.904
1957-10-01,15.915
1958-01-01,16.087
1958-04-01,16.134
1958-07-01,16.232
1958-10-01,16.309
1959-01-01,16.347
1959-04-01,16.372
1959-07-01,16.435
1959-10-01,16.499
1960-01-01,16.566
1960-04-01,16.607
1960-07-01,16.665
1960-10-01,16.714
1961-01-01,16.75
1961-04-01,16.789
1961-07-01,16.832
1961-10-01,16.885
1962-01-01,16.972
1962-04-01,16.999
1962-07-01,17.035
1962-10-01,17.07
1963-01-01,17.145
1963-04-01,17.175
1963-07-01,17.198
1963-10-01,17.337
1964-01-01,17.392
1964-04-01,17.432
1964-07-01,17.502
1964-10-01,17.581
1965-01-01,17.67
1965-04-01,17.751
1965-07-01,17.819
1965-10-01,17.942
1966-01-01,18.057
1966-04-01,18.205
1966-07-01,18.381
1966-10-01,18.535
1967-01-01,18.612
1967-04-01,18.707
1967-07-01,18.886
1967-10-01,19.096
1968-01-01,19.308
1968-04-01,19.511
1968-07-01,19.703
1968-10-01,19.981
1969-01-01,20.187
1969-04-01,20.444
1969-07-01,20.731
1969-10-01,20.998
1970-01-01,21.294
1970-04-01,21.591
1970-07-01,21.768
1970-10-01,22.056
1971-01-01,22.391
1971-04-01,22.685
1971-07-01,22.916
1971-10-01,23.107
1972-01-01,23.458
1972-04-01,23.604
1972-07-01,23.83
1972-10-01,24.134
1973-01-01,24.412
1973-04-01,24.787
1973-07-01,25.27
1973-10-01,25.773
1974-01-01,26.26
1974-04-01,26.88
1974-07-01,27.668
1974-10-01,28.482
1975-01-01,29.129
1975-04-01,29.562
1975-07-01,30.084
1975-10-01,30.587
1976-01-01,30.911
1976-04-01,31.222
1976-07-01,31.626
1976-10-01,32.192
1977-01-01,32.711
1977-04-01,33.172
1977-07-01,33.576
1977-10-01,34.301
1978-01-01,34.8
1978-04-01,35.465
1978-07-01,36.067
1978-10-01,36.806
1979-01-01,37.476
1979-04-01,38.394
1979-07-01,39.234
1979-10-01,39.962
1980-01-01,40.801
1980-04-01,41.772
1980-07-01,42.705
1980-10-01,43.818
1981-01-01,44.972
1981-04-01,45.863
1981-07-01,46.726
1981-10-01,47.534
1982-01-01,48.188
1982-04-01,48.814
1982-07-01,49.506
1982-10-01,50.019
1983-01-01,50.397
1983-04-01,50.771
1983-07-01,51.311
1983-10-01,51.7
1984-01-01,52.223
1984-04-01,52.67
1984-07-01,53.138
1984-10-01,53.536
1985-01-01,54.065
1985-04-01,54.413
1985-07-01,54.741
1985-10-01,55.047
1986-01-01,55.321
1986-04-01,55.531
1986-07-01,55.758
1986-10-01,56.062
1987-01-01,56.418
1987-04-01,56.809
1987-07-01,57.239
1987-10-01,57.695
1988-01-01,58.147
1988-04-01,58.713
1988-07-01,59.415
1988-10-01,59.929
1989-01-01,60.553
1989-04-01,61.198
1989-07-01,61.645
1989-10-01,62.084
1990-01-01,62.754
1990-04-01,63.457
1990-07-01,64.001
1990-10-01,64.477
1991-01-01,65.109
1991-04-01,65.587
1991-07-01,66.099
1991-10-01,66.492
1992-01-01,66.739
1992-04-01,67.14
1992-07-01,67.468
1992-10-01,67.932
1993-01-01,68.313
1993-04-01,68.719
1993-07-01,69.128
1993-10-01,69.505
1994-01-01,69.837
1994-04-01,70.174
1994-07-01,70.577
1994-10-01,70.96
1995-01-01,71.344
1995-04-01,71.687
1995-07-01,72.04
1995-10-01,72.387
1996-01-01,72.736
1996-04-01,73.037
1996-07-01,73.276
1996-10-01,73.668
1997-01-01,74.107
1997-04-01,74.257
1997-07-01,74.579
1997-10-01,74.824
1998-01-01,74.933
1998-04-01,75.11
1998-07-01,75.433
1998-10-01,75.641
1999-01-01,75.926
1999-04-01,76.201
1999-07-01,76.462
1999-10-01,76.873
2000-01-01,77.396
2000-04-01,77.865
2000-07-01,78.309
2000-10-01,78.723
2001-01-01,79.204
2001-04-01,79.683
2001-07-01,80.004
2001-10-01,80.268
2002-01-01,80.533
2002-04-01,80.821
2002-07-01,81.194
2002-10-01,81.654
2003-01-01,82.025
2003-04-01,82.266
2003-07-01,82.712
2003-10-01,83.201
2004-01-01,83.82
2004-04-01,84.504
2004-07-01,85.056
2004-10-01,85.712
2005-01-01,86.391
2005-04-01,86.996
2005-07-01,87.783
2005-10-01,88.489
2006-01-01,89.107
2006-04-01,89.852
2006-07-01,90.481
2006-10-01,90.815
2007-01-01,91.708
2007-04-01,92.301
2007-07-01,92.776
2007-10-01,93.145
2008-01-01,93.489
2008-04-01,93.99
2008-07-01,94.69
2008-10-01,94.986
2009-01-01,94.976
2009-04-01,94.838
2009-07-01,94.938
2009-10-01,95.259
2010-01-01,95.499
2010-04-01,95.943
2010-07-01,96.222
2010-10-01,96.763
2011-01-01,97.283
2011-04-01,97.922
2011-07-01,98.553
2011-10-01,98.703
2012-01-01,99.32
2012-04-01,99.713
2012-07-01,100.225
2012-10-01,100.737
2013-01-01,101.139
2013-04-01,101.431
2013-07-01,101.918
2013-10-01,102.517
2014-01-01,102.937
2014-04-01,103.512
2014-07-01,103.957
2014-10-01,104.123
2015-01-01,104.09
2015-04-01,104.675
2015-07-01,105.048
2015-10-01,105.049
2016-01-01,104.941
2016-04-01,105.657
2016-07-01,106.043
2016-10-01,106.551
2017-01-01,107.058
2017-04-01,107.411
2017-07-01,107.973
2017-10-01,108.713
2018-01-01,109.355
2018-04-01,110.281
2018-07-01,110.767
2018-10-01,111.256
2019-01-01,111.473
2019-04-01,112.188
2019-07-01,112.664
2019-10-01,113.083
