date,c,w,y,cay=c-0.218 a-0.801y+0.441
3/31/1952,9.155654088,10.96437182,8.979659373,0.015104932
6/30/1952,9.171140135,10.98185673,8.982086115,0.024837267
9/30/1952,9.171598032,10.97847759,8.996057261,0.014840079
12/31/1952,9.201694532,10.97268767,9.026058672,0.022165985
3/31/1953,9.209630924,10.97345749,9.036561909,0.021521184
6/30/1953,9.211946901,10.97389258,9.04632068,0.015925245
9/30/1953,9.205012767,10.97250997,9.039444128,0.014800727
12/31/1953,9.193623282,10.97629063,9.027454834,0.012191308
3/31/1954,9.193034426,10.98378546,9.0170639,0.018292893
6/30/1954,9.201888415,11.000186,9.016065708,0.024372935
9/30/1954,9.210709481,11.0215391,9.019541927,0.025756779
12/31/1954,9.226583125,11.02734458,9.038194563,0.025424055
3/31/1955,9.244646213,11.03481007,9.04619337,0.035453159
6/30/1955,9.259563309,11.05640735,9.067690244,0.028444661
9/30/1955,9.267340709,11.0708889,9.083583649,0.020335493
12/31/1955,9.274967957,11.07445469,9.093438638,0.0192916
3/31/1956,9.27249752,11.09272506,9.100385692,0.007275383
6/30/1956,9.271727713,11.09166491,9.107828172,0.000774889
9/30/1956,9.269303831,11.08619768,9.106428473,0.000663474
12/31/1956,9.277992952,11.09667754,9.118404602,-0.002524166
3/31/1957,9.280482038,11.09072121,9.11743251,0.002041429
6/30/1957,9.278119278,11.10491572,9.118823299,-0.004528257
9/30/1957,9.281519123,11.08934437,9.117364432,0.003433049
12/31/1957,9.277413882,11.08797977,9.1085245,0.006706234
3/31/1958,9.259767162,11.09041424,9.086504933,0.0061675
6/30/1958,9.264145822,11.10287074,9.088807343,0.005987689
9/30/1958,9.2762826,11.12470901,9.111278819,-0.004634328
12/31/1958,9.285186504,11.1355024,9.122923508,-0.007410006
3/31/1959,9.299018482,11.134735,9.129419765,0.001385457
6/30/1959,9.310459743,11.14387575,9.142134456,0.000650123
9/30/1959,9.316564223,11.13844154,9.133330729,0.014990757
12/31/1959,9.313297337,11.14449051,9.135207288,0.008902667
3/31/1960,9.316967083,11.14141025,9.144674193,0.005660256
6/30/1960,9.323449994,11.14180964,9.144667265,0.012061692
9/30/1960,9.31445681,11.12904868,9.140530183,0.009162953
12/31/1960,9.311799485,11.145475,9.134966792,0.007382949
3/31/1961,9.308053837,11.16424337,9.138839242,-0.003554126
6/30/1961,9.318993702,11.17349758,9.151154446,-0.004495575
9/30/1961,9.319659828,11.18095201,9.159720483,-0.012315395
12/31/1961,9.335337327,11.19966894,9.172809431,-0.011200849
3/31/1962,9.342303775,11.19762554,9.180368911,-0.009844566
6/30/1962,9.351045485,11.1502678,9.188426413,0.002761635
9/30/1962,9.355139426,11.1600868,9.189063547,0.004205737
12/31/1962,9.365226541,11.19851472,9.192567435,0.003113016
3/31/1963,9.36885165,11.20672902,9.199117385,-0.000298435
6/30/1963,9.375023538,11.21766719,9.205396956,-0.00154003
9/30/1963,9.384688124,11.22538118,9.212239814,0.000962382
12/31/1963,9.389176731,11.21491467,9.223213767,-0.001058968
3/31/1964,9.405509188,11.22550739,9.240538861,-0.000912569
6/30/1964,9.419863678,11.23999201,9.263375069,-0.00800674
9/30/1964,9.434513817,11.25043204,9.273749747,-0.003941868
12/31/1964,9.433823734,11.26021324,9.280856196,-0.012455699
3/31/1965,9.453187645,11.26998284,9.289783063,-0.002371225
6/30/1965,9.461391146,11.26298329,9.296486376,0.001987829
9/30/1965,9.475101713,11.28429132,9.322720759,-0.00995908
12/31/1965,9.499583916,11.30675615,9.340643499,-0.004728496
3/31/1966,9.511755685,11.29791513,9.343370221,0.007185453
6/30/1966,9.511665183,11.300202,9.351535426,5.60508E-05
9/30/1966,9.519956229,11.27913866,9.365315112,0.001898605
12/31/1966,9.521085323,11.29929682,9.377015846,-0.010737276
3/31/1967,9.524346874,11.3290408,9.388836772,-0.023425643
6/30/1967,9.535490449,11.336625,9.39532988,-0.019135803
9/30/1967,9.53781073,11.35272728,9.402301089,-0.025908245
12/31/1967,9.541060695,11.36218885,9.412511735,-0.032898951
3/31/1968,9.562630507,11.35605535,9.428888887,-0.02311137
6/30/1968,9.575463037,11.38620121,9.444841845,-0.029626224
